Year,Revenue(US$ m),Net income(US$ m),Total assets(US$ m),Employees
2007,0.073,-78,34,268
2008,15.0,-83,52,252
2009,112.0,-56,130,514
2010,117.0,-154,386,899
2011,204.0,-254,713,1417
2012,413.0,-396,1114,2914
2013,2013.0,-74,2417,5859
2014,3198.0,-294,5831,10161
2015,4046.0,-889,8068,13058
2016,7000.0,-675,22664,17782
2017,11759.0,-1962,28655,37543
2018,21461.0,-976,29740,48817
2019,24578.0,-862,34309,48016
2020,31536.0,721,52148,70757
2021,53823.0,5519,62131,99290
2022,81462.0,12556,82338,127855
