price,volume,Date
219.27,117335820.0,2023-11-06
222.18,116900130.0,2023-11-07
222.11,106584841.0,2023-11-08
209.98,142110454.0,2023-11-09
214.65,131310128.0,2023-11-10
214.65,131310128.0,2023-11-11
214.65,131310128.0,2023-11-12
223.71,140447569.0,2023-11-13
237.41,149771642.0,2023-11-14
242.84,150353975.0,2023-11-15
233.59,136816819.0,2023-11-16
234.3,142766234.0,2023-11-17
234.3,142766234.0,2023-11-18
234.3,142766234.0,2023-11-19
235.6,116562402.0,2023-11-20
241.2,122288000.0,2023-11-21
234.21,118117078.0,2023-11-22
234.21,118117078.0,2023-11-23
235.45,65125203.0,2023-11-24
235.45,65125203.0,2023-11-25
235.45,65125203.0,2023-11-26
236.08,112031763.0,2023-11-27
246.72,148549913.0,2023-11-28
244.14,135401335.0,2023-11-29
240.08,132353196.0,2023-11-30
238.83,121331709.0,2023-12-01
238.83,121331709.0,2023-12-02
238.83,121331709.0,2023-12-03
235.58,104099817.0,2023-12-04
238.72,137971115.0,2023-12-05
239.37,126436179.0,2023-12-06
242.64,107142262.0,2023-12-07
243.84,,2023-12-08
